MarketDate,Name,MarketPrice
02/01/2015,Safaricom Ltd Ord 0.05,14.15
05/01/2015,Safaricom Ltd Ord 0.05,14.05
06/01/2015,Safaricom Ltd Ord 0.05,13.9
07/01/2015,Safaricom Ltd Ord 0.05,13.9
08/01/2015,Safaricom Ltd Ord 0.05,13.75
09/01/2015,Safaricom Ltd Ord 0.05,13.75
12/01/2015,Safaricom Ltd Ord 0.05,13.85
13/01/2015,Safaricom Ltd Ord 0.05,14.7
14/01/2015,Safaricom Ltd Ord 0.05,14.85
15/01/2015,Safaricom Ltd Ord 0.05,14.6
16/01/2015,Safaricom Ltd Ord 0.05,14.85
19/01/2015,Safaricom Ltd Ord 0.05,14.55
20/01/2015,Safaricom Ltd Ord 0.05,13.95
21/01/2015,Safaricom Ltd Ord 0.05,14.2
22/01/2015,Safaricom Ltd Ord 0.05,14.2
23/01/2015,Safaricom Ltd Ord 0.05,14.15
26/01/2015,Safaricom Ltd Ord 0.05,14
27/01/2015,Safaricom Ltd Ord 0.05,14.1
28/01/2015,Safaricom Ltd Ord 0.05,14.15
29/01/2015,Safaricom Ltd Ord 0.05,14.1
30/01/2015,Safaricom Ltd Ord 0.05,14.15
02/02/2015,Safaricom Ltd Ord 0.05,14.25
03/02/2015,Safaricom Ltd Ord 0.05,14.3
04/02/2015,Safaricom Ltd Ord 0.05,14.45
05/02/2015,Safaricom Ltd Ord 0.05,14.55
06/02/2015,Safaricom Ltd Ord 0.05,14.55
09/02/2015,Safaricom Ltd Ord 0.05,14.8
10/02/2015,Safaricom Ltd Ord 0.05,14.8
11/02/2015,Safaricom Ltd Ord 0.05,14.85
12/02/2015,Safaricom Ltd Ord 0.05,14.75
13/02/2015,Safaricom Ltd Ord 0.05,14.85
16/02/2015,Safaricom Ltd Ord 0.05,14.85
17/02/2015,Safaricom Ltd Ord 0.05,14.85
18/02/2015,Safaricom Ltd Ord 0.05,14.95
19/02/2015,Safaricom Ltd Ord 0.05,15.15
20/02/2015,Safaricom Ltd Ord 0.05,15.35
23/02/2015,Safaricom Ltd Ord 0.05,15.45
24/02/2015,Safaricom Ltd Ord 0.05,15.7
25/02/2015,Safaricom Ltd Ord 0.05,15.9
26/02/2015,Safaricom Ltd Ord 0.05,15.75
27/02/2015,Safaricom Ltd Ord 0.05,15.8
02/03/2015,Safaricom Ltd Ord 0.05,15.65
03/03/2015,Safaricom Ltd Ord 0.05,15.4
04/03/2015,Safaricom Ltd Ord 0.05,15.45
05/03/2015,Safaricom Ltd Ord 0.05,15.7
06/03/2015,Safaricom Ltd Ord 0.05,15.8
09/03/2015,Safaricom Ltd Ord 0.05,15.55
11/03/2015,Safaricom Ltd Ord 0.05,15.85
