MarketDate,Name,MarketPrice,NewPrices
02/01/2015,Safaricom Ltd Ord 0.05,14.15,14.05
05/01/2015,Safaricom Ltd Ord 0.05,14.05,13.9
06/01/2015,Safaricom Ltd Ord 0.05,13.9,13.9
07/01/2015,Safaricom Ltd Ord 0.05,13.9,13.75
08/01/2015,Safaricom Ltd Ord 0.05,13.75,13.75
09/01/2015,Safaricom Ltd Ord 0.05,13.75,13.85
12/01/2015,Safaricom Ltd Ord 0.05,13.85,14.7
13/01/2015,Safaricom Ltd Ord 0.05,14.7,14.85
14/01/2015,Safaricom Ltd Ord 0.05,14.85,14.6
15/01/2015,Safaricom Ltd Ord 0.05,14.6,14.85
16/01/2015,Safaricom Ltd Ord 0.05,14.85,14.55
19/01/2015,Safaricom Ltd Ord 0.05,14.55,13.95
20/01/2015,Safaricom Ltd Ord 0.05,13.95,14.2
21/01/2015,Safaricom Ltd Ord 0.05,14.2,14.2
22/01/2015,Safaricom Ltd Ord 0.05,14.2,14.15
23/01/2015,Safaricom Ltd Ord 0.05,14.15,14
26/01/2015,Safaricom Ltd Ord 0.05,14,14.1
27/01/2015,Safaricom Ltd Ord 0.05,14.1,14.15
28/01/2015,Safaricom Ltd Ord 0.05,14.15,14.1
29/01/2015,Safaricom Ltd Ord 0.05,14.1,14.15
30/01/2015,Safaricom Ltd Ord 0.05,14.15,14.25
02/02/2015,Safaricom Ltd Ord 0.05,14.25,14.3
03/02/2015,Safaricom Ltd Ord 0.05,14.3,14.45
04/02/2015,Safaricom Ltd Ord 0.05,14.45,14.55
05/02/2015,Safaricom Ltd Ord 0.05,14.55,14.55
06/02/2015,Safaricom Ltd Ord 0.05,14.55,14.8
09/02/2015,Safaricom Ltd Ord 0.05,14.8,14.8
10/02/2015,Safaricom Ltd Ord 0.05,14.8,14.85
11/02/2015,Safaricom Ltd Ord 0.05,14.85,14.75
12/02/2015,Safaricom Ltd Ord 0.05,14.75,14.85
13/02/2015,Safaricom Ltd Ord 0.05,14.85,14.85
16/02/2015,Safaricom Ltd Ord 0.05,14.85,14.85
17/02/2015,Safaricom Ltd Ord 0.05,14.85,14.95
18/02/2015,Safaricom Ltd Ord 0.05,14.95,15.15
19/02/2015,Safaricom Ltd Ord 0.05,15.15,15.35
20/02/2015,Safaricom Ltd Ord 0.05,15.35,15.45
23/02/2015,Safaricom Ltd Ord 0.05,15.45,15.7
24/02/2015,Safaricom Ltd Ord 0.05,15.7,15.9
25/02/2015,Safaricom Ltd Ord 0.05,15.9,15.75
26/02/2015,Safaricom Ltd Ord 0.05,15.75,15.8
27/02/2015,Safaricom Ltd Ord 0.05,15.8,15.65
02/03/2015,Safaricom Ltd Ord 0.05,15.65,15.4
03/03/2015,Safaricom Ltd Ord 0.05,15.4,15.45
04/03/2015,Safaricom Ltd Ord 0.05,15.45,15.7
05/03/2015,Safaricom Ltd Ord 0.05,15.7,15.8
06/03/2015,Safaricom Ltd Ord 0.05,15.8,15.55
09/03/2015,Safaricom Ltd Ord 0.05,15.55,15.85
11/03/2015,Safaricom Ltd Ord 0.05,15.85,15.95
12/03/2015,Safaricom Ltd Ord 0.05,15.95,15.8
13/03/2015,Safaricom Ltd Ord 0.05,15.8,15.65
16/03/2015,Safaricom Ltd Ord 0.05,15.65,15.6
17/03/2015,Safaricom Ltd Ord 0.05,15.6,15.75
18/03/2015,Safaricom Ltd Ord 0.05,15.75,15.9
19/03/2015,Safaricom Ltd Ord 0.05,15.9,15.85
20/03/2015,Safaricom Ltd Ord 0.05,15.85,15.9
23/03/2015,Safaricom Ltd Ord 0.05,15.9,16
24/03/2015,Safaricom Ltd Ord 0.05,16,16.1
25/03/2015,Safaricom Ltd Ord 0.05,16.1,16.45
26/03/2015,Safaricom Ltd Ord 0.05,16.45,16.6
27/03/2015,Safaricom Ltd Ord 0.05,16.6,16.7
30/03/2015,Safaricom Ltd Ord 0.05,16.7,17.05
31/03/2015,Safaricom Ltd Ord 0.05,17.05,17
01/04/2015,Safaricom Ltd Ord 0.05,17,16.6
02/04/2015,Safaricom Ltd Ord 0.05,16.6,15.9
07/04/2015,Safaricom Ltd Ord 0.05,15.9,15.95
08/04/2015,Safaricom Ltd Ord 0.05,15.95,16.35
09/04/2015,Safaricom Ltd Ord 0.05,16.35,15.9
10/04/2015,Safaricom Ltd Ord 0.05,15.9,16
13/04/2015,Safaricom Ltd Ord 0.05,16,16.1
14/04/2015,Safaricom Ltd Ord 0.05,16.1,16.3
15/04/2015,Safaricom Ltd Ord 0.05,16.3,16.75
16/04/2015,Safaricom Ltd Ord 0.05,16.75,17.2
17/04/2015,Safaricom Ltd Ord 0.05,17.2,17.25
20/04/2015,Safaricom Ltd Ord 0.05,17.25,17.2
21/04/2015,Safaricom Ltd Ord 0.05,17.2,17.05
22/04/2015,Safaricom Ltd Ord 0.05,17.05,17.2
23/04/2015,Safaricom Ltd Ord 0.05,17.2,17.3
24/04/2015,Safaricom Ltd Ord 0.05,17.3,17.1
27/04/2015,Safaricom Ltd Ord 0.05,17.1,17.2
28/04/2015,Safaricom Ltd Ord 0.05,17.2,17.3
29/04/2015,Safaricom Ltd Ord 0.05,17.3,17.4
30/04/2015,Safaricom Ltd Ord 0.05,17.4,17.45
04/05/2015,Safaricom Ltd Ord 0.05,17.45,17.5
05/05/2015,Safaricom Ltd Ord 0.05,17.5,17.55
06/05/2015,Safaricom Ltd Ord 0.05,17.55,17.15
07/05/2015,Safaricom Ltd Ord 0.05,17.15,17.05
08/05/2015,Safaricom Ltd Ord 0.05,17.05,16.9
11/05/2015,Safaricom Ltd Ord 0.05,16.9,16.65
12/05/2015,Safaricom Ltd Ord 0.05,16.65,16.1
13/05/2015,Safaricom Ltd Ord 0.05,16.1,16.35
14/05/2015,Safaricom Ltd Ord 0.05,16.35,16.35
15/05/2015,Safaricom Ltd Ord 0.05,16.35,16.5
18/05/2015,Safaricom Ltd Ord 0.05,16.5,16.6
19/05/2015,Safaricom Ltd Ord 0.05,16.6,16.45
20/05/2015,Safaricom Ltd Ord 0.05,16.45,16.3
21/05/2015,Safaricom Ltd Ord 0.05,16.3,16.2
22/05/2015,Safaricom Ltd Ord 0.05,16.2,16
25/05/2015,Safaricom Ltd Ord 0.05,16,15.2
27/05/2015,Safaricom Ltd Ord 0.05,15.2,15.55
28/05/2015,Safaricom Ltd Ord 0.05,15.55,15.85
29/05/2015,Safaricom Ltd Ord 0.05,15.85,16.5
02/06/2015,Safaricom Ltd Ord 0.05,16.5,16.4
03/06/2015,Safaricom Ltd Ord 0.05,16.4,16.45
04/06/2015,Safaricom Ltd Ord 0.05,16.45,16.35
05/06/2015,Safaricom Ltd Ord 0.05,16.35,16.1
08/06/2015,Safaricom Ltd Ord 0.05,16.1,16.05
09/06/2015,Safaricom Ltd Ord 0.05,16.05,16.05
10/06/2015,Safaricom Ltd Ord 0.05,16.05,16.05
11/06/2015,Safaricom Ltd Ord 0.05,16.05,16.05
